GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Combined,top.infra.common,ClassUtils.FileAndClasspathUtils.AssignableFilter,0,36,3,7,0,9,3,4,0,2
Combined,top.infra.common,ClassUtils,53,32,5,3,12,11,5,4,1,4
Combined,top.infra.common,ClassUtils.FileAndClasspathUtils.InterfaceFilter,26,0,6,0,6,0,5,0,2,0
Combined,top.infra.common,ClassUtils.FileAndClasspathUtils.ClassPathScanningCandidateProvider,0,8,0,0,0,3,0,2,0,2
Combined,top.infra.common,EnumUtils,105,0,2,0,28,0,6,0,5,0
Combined,top.infra.common,ClassUtils.FileAndClasspathUtils,74,43,10,2,15,11,9,3,4,2
Combined,top.infra.jackson2,Jackson2Properties.Jaxb,80,6,14,0,0,2,13,1,6,1
Combined,top.infra.jackson2,Jackson2MapperCustomizer,33,20,6,2,5,6,7,2,3,2
Combined,top.infra.jackson2,DefaultJackson2Customizer,21,310,6,8,6,73,7,11,1,10
Combined,top.infra.jackson2,Jackson2Customizer,2,0,0,0,1,0,1,0,1,0
Combined,top.infra.jackson2,DefaultJackson2ObjectMapperBuilderCustomizer,1,38,1,1,0,10,1,4,0,4
Combined,top.infra.jackson2,DefaultJackson2MapperCustomizerFactory,0,14,0,0,0,3,0,2,0,2
Combined,top.infra.jackson2,Jackson2BuilderCustomizer,32,31,0,0,11,8,2,2,2,2
Combined,top.infra.jackson2,Jackson2AutoConfiguration,0,13,0,0,0,3,0,3,0,3
Combined,top.infra.jackson2,Jackson2Utils,59,86,4,4,16,19,11,6,8,5
Combined,top.infra.jackson2,Jackson2MapperCustomizerFactory,7,25,3,3,4,6,3,1,0,1
Combined,top.infra.jackson2,Jackson2Utils.RuntimeJsonProcessingException,5,0,0,0,2,0,1,0,1,0
Combined,top.infra.jackson2,Jackson2Properties,62,58,0,0,5,10,17,8,17,8
Combined,commonsio,IOUtils,68,0,8,0,15,0,12,0,8,0
