GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2.ser,PairSerializer,103,362,19,31,19,99,18,18,1,10
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2.deser,PairDeserializer,202,259,36,20,38,71,29,11,5,7
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2,CommonsLangSerializers,14,77,3,5,3,19,3,4,0,3
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2,CommonsLangJackson2Customizer,0,33,0,0,0,9,0,3,0,3
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2,CommonsLangDeserializers,4,65,4,6,2,18,4,3,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2,CommonsLangModule,11,27,2,0,2,7,3,3,2,3
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2,CommonsLangJackson2AutoConfiguration,0,7,0,0,0,2,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-apache-commons,top.infra.jackson2,CommonsLangJackson2MapperCustomizerFactory,0,22,0,0,0,3,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.common,ClassUtils.FileAndClasspathUtils.AssignableFilter,0,36,3,7,0,9,3,4,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.common,ClassUtils,47,38,5,3,8,15,5,4,1,4
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.common,ClassUtils.FileAndClasspathUtils.InterfaceFilter,26,0,6,0,6,0,5,0,2,0
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.common,ClassUtils.FileAndClasspathUtils.ClassPathScanningCandidateProvider,0,8,0,0,0,3,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.common,EnumUtils,69,36,2,0,20,8,4,2,3,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.common,ClassUtils.FileAndClasspathUtils,74,43,10,2,15,11,9,3,4,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2Properties.Jaxb,73,13,14,0,0,2,11,3,4,3
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2MapperCustomizer,2,51,1,7,1,10,2,7,1,4
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,DefaultJackson2Customizer,20,311,4,10,6,73,5,13,1,10
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2Customizer,0,2,0,0,0,1,0,1,0,1
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,DefaultJackson2ObjectMapperBuilderCustomizer,1,38,1,1,0,10,1,4,0,4
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,DefaultJackson2MapperCustomizerFactory,0,14,0,0,0,3,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2BuilderCustomizer,11,52,0,0,6,13,0,4,0,4
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2AutoConfiguration,0,13,0,0,0,3,0,3,0,3
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2Utils,33,112,3,5,9,26,5,12,2,11
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2MapperCustomizerFactory,5,27,2,4,3,7,2,2,0,1
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2Utils.RuntimeJsonProcessingException,5,0,0,0,2,0,1,0,1,0
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,top.infra.jackson2,Jackson2Properties,48,72,0,0,3,12,13,12,13,12
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-core,commonsio,IOUtils,68,0,8,0,15,0,12,0,8,0
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-hal,top.infra.jackson2,HalJackson2Customizer,16,106,5,5,7,20,5,7,0,7
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-hal,top.infra.jackson2,HalJackson2MapperCustomizerFactory,0,18,0,0,0,3,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-hal,top.infra.jackson2,HalJackson2AutoConfiguration,0,7,0,0,0,2,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-jaxb,top.infra.jackson2,HackedJackson2JaxbAnnotationIntrospector,4,4,0,0,2,2,2,1,2,1
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-jaxb,top.infra.jackson2,JaxbAnnotationJackson2AutoConfiguration,0,7,0,0,0,2,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-jaxb,top.infra.jackson2,JaxbAnnotationJackson2MapperCustomizerFactory,0,26,0,0,0,3,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-jaxb,top.infra.jackson2,JaxbAnnotationJackson2Customizer,17,173,9,9,6,35,9,8,0,8
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-joda,top.infra.jackson2,DefaultTimeZone,31,0,0,0,8,0,3,0,3,0
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-joda,top.infra.jackson2,JodaTimeJackson2AutoConfiguration,0,7,0,0,0,2,0,2,0,2
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-joda,top.infra.jackson2,JodaTimeJackson2Customizer,9,82,1,7,1,23,1,9,0,6
JaCoCo spring-boot-jackson2-report-aggregate/spring-boot-jackson2-joda,top.infra.jackson2,JodaTimeJackson2MapperCustomizerFactory,0,26,0,0,0,3,0,2,0,2
